record_date,consumer_credit_gbp_m
2015-01-31,171493
2015-02-28,171157
2015-03-31,172600
2015-04-30,173107
2015-05-31,173757
2015-06-30,174498
2015-07-31,176152
2015-08-31,176818
2015-09-30,176218
2015-10-31,177263
2015-11-30,178171
2015-12-31,178847
2016-01-31,180209
2016-02-29,181371
2016-03-31,183061
2016-04-30,183753
2016-05-31,184889
2016-06-30,186260
2016-07-31,187093
2016-08-31,188328
2016-09-30,189057
2016-10-31,190432
2016-11-30,192361
2016-12-31,193205
2017-01-31,194403
2017-02-28,195996
2017-03-31,197706
2017-04-30,198562
2017-05-31,200020
2017-06-30,200923
2017-07-31,201984
2017-08-31,203187
2017-09-30,204653
2017-10-31,206013
2017-11-30,207344
2017-12-31,208720
2018-01-31,209088
2018-02-28,210873
2018-03-31,211677
2018-04-30,212930
2018-05-31,214165
2018-06-30,215249
2018-07-31,215747
2018-08-31,216638
2018-09-30,217887
2018-10-31,217961
2018-11-30,218648
2018-12-31,219077
2019-01-31,219977
2019-02-28,219946
2019-03-31,220637
2019-04-30,221063
2019-05-31,221509
2019-06-30,222050
2019-07-31,222132
2019-08-31,224126
2019-09-30,224496
2019-10-31,225033
2019-11-30,225313
2019-12-31,224313
2020-01-31,224936
2020-02-29,225211
2020-03-31,221359
2020-04-30,212623
2020-05-31,207891
2020-06-30,206692
2020-07-31,207592
2020-08-31,207569
2020-09-30,206577
2020-10-31,205625
2020-11-30,203286
2020-12-31,202192
2021-01-31,200055
2021-02-28,198611
2021-03-31,198259
2021-04-30,196733
2021-05-31,197389
2021-06-30,197332
2021-07-31,198046
2021-08-31,198537
2021-09-30,198689
2021-10-31,197368
2021-11-30,198213
2021-12-31,198462
2022-01-31,198522
2022-02-28,199502
2022-03-31,200400
2022-04-30,201727
2022-05-31,202438
2022-06-30,203179
2022-07-31,204334
2022-08-31,204907
2022-09-30,205418
2022-10-31,206012
2022-11-30,206769
2022-12-31,206854
2023-01-31,209158
2023-02-28,210515
2023-03-31,211757
2023-04-30,213289
2023-05-31,213785
2023-06-30,215232
2023-07-31,216148
2023-08-31,217369
2023-09-30,218545
2023-10-31,219647
2023-11-30,221377
2023-12-31,219482
2024-01-31,221178
2024-02-29,222165
2024-03-31,223387
2024-04-30,227029
2024-05-31,228590
2024-06-30,229621
2024-07-31,230517
2024-08-31,231423
2024-09-30,232523
2024-10-31,232583
2024-11-30,232544
2024-12-31,233599
2025-01-31,234852
2025-02-28,235866
2025-03-31,236061
2025-04-30,237522
2025-05-31,238116
2025-06-30,239324
2025-07-31,240732
2025-08-31,242114
2025-09-30,243180
2025-10-31,244501
2025-11-30,246253
2025-12-31,247862
2026-01-31,249406
2026-02-28,250618
2026-03-31,252093
2026-04-30,253512
